1-node-1-core-10k.out:DATA, 1,793.237000ms
1-node-2-core-10k.out:DATA, 2,140.125000ms
1-node-4-core-10k.out:DATA, 4,140.638000ms
1-node-8-core-10k.out:DATA, 8,137.546000ms
2-node-1-core-10k.out:DATA, 2,141.637000ms
2-node-2-core-10k.out:DATA, 4,137.662000ms
2-node-4-core-10k.out:DATA, 8,321.820000ms
2-node-8-core-10k.out:DATA, 16,268.656000ms
3-node-1-core-10k.out:DATA, 3,331.033000ms
3-node-2-core-10k.out:DATA, 6,138.072000ms
3-node-4-core-10k.out:DATA, 12,139.247000ms
3-node-8-core-10k.out:DATA, 24,163.555000ms
